Quantity,Model,Mean,Standard deviation
Final wealth,GP,2.604131992025983,196.325869638917
Final wealth,M,-233.51774216636449,569.6844516941368
Final wealth,RL,4.5473710536774,141.818737710444
Final value,GP,26.780737248473866,200.00230360226186
Final value,M,67.38728517686073,430.6138221873544
Final value,RL,16.22735542979346,144.30411525928565
Final cost,GP,24.176605256447882,25.033290047836264
Final cost,M,300.90502734322513,519.5703179922481
Final cost,RL,11.679984376116053,13.784689120036607
