,Average Price Per Contract,Standard Deviation of Price Changes
cocoa,2459.8180719060974,35.987356405302094
coffee,1771.556709773161,24.320464537656296
copper,6495.471875355722,71.35866193203131
WTI,69.17831373198611,1.2860918108249462
gasoil,19141.55703642384,857.7515953889763
gold,42.360101694915436,0.4145129262321921
lead,2390.3529278519254,20.87370721214199
nat-gas-rngc1d,4.613949602122035,0.14419304755002835
nat-gas-reuter,4.610744617356579,0.14536846022763275
nickel,14828.527108924252,189.92976879076795
silver,652.7326251896814,8.424883693902759
sugar,429.1276113226285,6.902688378503282
tin,0.03792252119424982,0.022706858475986802
unleaded,2.075489917657819,0.04019328903777452
zinc,2691.3448913818715,29.715319498171148
