batch,reward_RL,model_convergence,backtesting_sharperatio,simulationtesting_sharperatio_av2std,simulationtesting_wealthnetrisk_av2std
0,-0.5446163666196683,0.0,-0.966543892322953,-0.024486259052319655,-0.04050164784479772
1,-0.065646134515617,0.15849662020796004,-1.5806761866684644,0.003737252369029086,-0.0026044398605503116
2,-0.013800682273068824,0.1795758000793592,0.31096775925838077,0.0493515191980688,0.033852805064381354
3,0.0016284191095648178,0.14446241499530374,-1.3033206090757135,-0.022102634169055065,-0.04542073240760799
4,-0.028260247828241197,0.1953658572540432,-1.2987162055402415,-0.036546954329734774,-0.05450644217876883
5,-0.01636330818297134,0.07730675708959933,-1.258358660008505,-0.0409125975483112,-0.07382818195810788
6,-0.03693899463410763,0.28515370234386733,-1.2332581626211006,-0.03211531621829249,-0.05328496823760946
7,-0.031550730126979704,0.23741402550510377,0.6300176079696245,0.03887792802014735,0.021105159256280995
8,0.005021172642279639,0.45052912938880996,1.0079155041877668,0.021854033603384993,-0.027963113905354442
9,-0.038024375673693524,0.5403162590127671,0.37578602325291033,0.032467111286587545,0.017400629072373733
